Jenis_Kelamin,Umur,SIM,Kode_Daerah,Sudah_Asuransi,Umur_Kendaraan,Kendaraan_Rusak,Premi,Kanal_Penjualan,Lama_Berlangganan,Tertarik
0,29,1,41,1,0.0,0,31826,152,271,0
1,27,1,28,0,0.0,1,57389,26,158,1
1,31,1,50,1,0.0,0,26980,152,188,0
0,39,1,46,1,0.5,0,26328,11,264,0
1,40,1,28,0,0.5,1,40904,30,280,0
1,25,1,8,1,0.0,0,79915,152,251,0
1,25,1,35,1,0.0,0,33473,152,136,0
0,40,1,50,1,0.5,0,27868,152,100,0
0,40,1,28,0,1.0,1,48111,26,138,1
0,28,1,41,1,0.0,0,46933,152,278,0
0,41,1,28,0,0.5,1,64067,124,78,0
1,40,1,28,0,0.5,0,45313,124,107,0
1,54,1,28,1,0.5,0,38265,122,291,0
0,39,1,8,0,0.5,1,2630,157,274,1
1,26,1,45,1,0.0,0,31691,152,255,0
0,20,1,3,1,0.0,0,22212,160,49,0
0,35,1,28,0,0.5,1,27073,124,201,0
1,48,1,28,1,0.5,0,51413,124,96,0
1,71,1,29,0,0.5,1,36569,26,146,0
1,35,1,28,0,0.5,1,47630,124,112,0
1,72,1,15,0,1.0,1,32225,14,90,0
0,60,1,28,0,0.5,1,28490,26,70,0
1,55,1,48,0,0.5,1,2630,124,111,0
1,68,1,8,0,0.5,0,53968,124,90,0
0,36,1,28,0,0.5,1,30205,122,278,0
0,23,1,41,1,0.0,0,31452,152,24,0
1,24,1,28,0,0.5,1,33241,124,30,1
1,59,1,8,1,0.5,0,32335,25,173,0
0,38,1,28,0,0.5,1,2630,124,43,0
1,25,1,29,1,0.0,0,54239,152,135,0
0,27,1,6,1,0.0,0,25908,152,283,0
0,20,1,46,1,0.0,0,36485,160,84,0
0,40,1,1,1,0.5,0,2630,26,96,0
1,54,1,28,0,0.5,1,27115,26,213,0
1,23,1,28,1,0.0,0,62284,152,98,0
0,49,1,36,0,0.5,1,34625,124,271,0
0,24,1,8,1,0.0,0,28071,152,181,0
1,33,1,24,1,0.5,0,22981,124,68,0
0,22,1,11,1,0.0,0,21519,152,26,0
1,25,1,30,0,0.5,1,28020,124,264,0
0,48,1,28,0,0.5,1,44095,52,24,1
0,34,1,46,0,0.5,1,25708,156,129,0
1,50,1,28,0,0.5,1,42777,26,33,0
0,47,1,46,0,0.5,1,32922,124,223,0
0,24,1,28,1,0.0,0,47876,26,269,0
1,48,1,8,1,0.5,0,35596,26,119,0
0,25,1,41,1,0.0,0,41550,152,62,0
1,25,1,41,0,0.0,1,66605,154,46,0
0,66,1,29,0,0.5,1,20982,26,274,0
1,43,1,7,0,0.5,1,30417,124,32,0
1,20,1,41,0,0.0,0,2630,1,241,0
1,53,1,28,0,0.5,1,36580,45,238,0
1,25,1,12,1,0.0,0,33826,160,144,0
1,22,1,30,1,0.0,0,32736,152,10,0
1,23,1,37,0,0.0,1,32750,152,12,0
1,25,1,50,1,0.0,0,41444,152,199,0
0,22,1,10,1,0.0,0,16943,152,207,0
1,24,1,46,0,0.0,1,25740,152,274,0
1,47,1,46,1,0.5,0,64241,124,38,0
0,22,1,8,1,0.0,0,31895,152,15,0
0,22,1,17,0,0.0,1,33526,152,73,0
1,39,1,50,0,0.5,1,28291,124,133,0
1,28,1,41,0,0.5,1,39432,124,115,0
0,24,1,11,0,0.0,1,41919,152,13,0
0,21,1,28,0,0.5,1,32993,124,176,0
1,24,1,3,1,0.0,0,29093,160,227,0
1,55,1,28,0,1.0,1,38068,122,40,0
0,34,1,36,0,0.5,1,29000,154,283,0
0,24,1,27,0,0.0,1,51554,151,282,0
1,23,1,8,0,0.0,1,32270,152,220,0
0,24,1,37,1,0.0,0,27444,152,204,0
1,36,1,38,0,0.5,1,30518,124,184,0
1,61,1,28,0,0.5,1,49275,26,222,0
1,35,1,50,0,0.5,1,40775,8,25,0
1,29,1,46,0,0.0,1,2630,160,205,0
1,26,1,44,1,0.0,0,34497,152,74,0
1,25,1,14,1,0.0,0,23885,152,100,0
0,43,1,28,0,0.5,1,36935,26,269,0
0,51,1,8,0,0.5,1,40488,124,183,0
1,21,1,8,1,0.5,0,67909,156,138,0
1,66,1,29,1,0.5,0,28660,26,79,0
1,64,1,28,0,0.5,1,32354,30,31,0
1,46,1,12,0,0.5,1,27202,26,17,1
1,61,1,28,0,1.0,1,61233,124,148,1
0,30,1,28,1,0.5,0,26449,26,219,0
0,41,1,41,1,0.5,0,21233,26,197,0
0,25,1,13,1,0.0,0,30394,152,120,0
1,73,1,11,1,0.5,0,29745,152,149,0
1,48,1,28,0,1.0,1,41621,124,255,0
0,20,1,11,1,0.5,0,36426,124,127,0
0,45,1,37,1,0.5,0,38372,26,37,1
0,23,1,6,1,0.0,0,29408,152,13,0
0,29,1,30,1,0.0,0,22615,152,104,0
1,39,1,43,0,0.5,1,2630,26,202,1
1,20,1,28,1,0.5,0,35863,26,216,0
0,31,1,35,1,0.0,0,32694,152,164,0
0,43,1,28,0,0.5,1,53960,26,158,0
1,23,1,10,1,0.0,0,33209,154,258,0
1,29,1,47,1,0.0,0,34118,152,15,0
1,30,1,28,0,0.0,1,41162,26,190,0
0,26,1,37,1,0.0,0,29158,26,258,0
0,24,1,16,0,0.0,0,27522,152,114,0
1,30,1,28,0,0.5,1,38737,156,66,1
1,23,1,21,0,0.0,1,53673,152,251,1
0,46,1,8,0,0.5,1,35248,154,248,0
1,46,1,8,0,0.5,1,30457,19,58,0
0,22,1,28,1,0.0,0,51716,152,176,0
0,21,1,33,1,0.0,1,23671,152,65,0
0,26,1,30,1,0.0,0,31088,152,228,0
0,36,1,28,0,0.5,1,45446,124,234,0
0,22,1,8,0,0.0,1,2630,152,176,0
0,23,1,10,1,0.0,0,27604,152,16,0
1,20,1,8,1,0.0,0,34141,160,190,0
0,39,1,36,1,0.5,0,2630,160,65,0
0,23,1,17,1,0.0,0,31638,152,109,0
0,21,1,7,1,0.0,1,33640,160,269,0
1,36,1,28,0,0.5,1,44814,26,185,1
1,23,1,30,0,0.5,1,25859,124,267,0
0,23,1,36,1,0.0,0,30269,152,181,0
1,43,1,28,0,0.5,1,2630,26,46,1
1,42,1,39,0,0.5,1,31864,124,158,0
1,67,1,28,0,0.5,1,24791,124,23,1
1,24,1,12,1,0.0,0,27907,152,112,0
0,58,1,50,0,0.5,1,29901,8,177,0
1,67,1,8,0,0.5,1,36756,124,258,0
0,82,1,28,1,0.5,0,34226,26,42,0
0,22,1,11,1,0.0,0,56171,152,229,0
0,44,1,28,1,0.5,0,38843,124,263,0
1,42,1,28,1,0.5,0,33519,124,112,0
1,49,1,28,1,0.5,0,30563,26,193,0
1,24,1,8,0,0.0,1,33126,124,116,0
0,34,1,28,0,0.5,1,45385,124,282,0
0,67,1,5,0,0.5,1,28512,124,254,0
1,40,1,28,0,0.5,1,39308,125,293,0
0,29,1,18,1,0.0,0,23070,152,213,0
1,22,1,47,0,0.0,1,41496,163,158,0
0,21,1,47,0,0.0,1,33658,160,163,0
1,47,1,37,1,0.5,0,42424,124,265,0
0,37,1,41,1,0.5,0,32045,152,255,0
1,64,1,48,0,1.0,1,2630,124,95,0
0,21,1,2,1,0.0,0,28820,160,153,0
1,46,1,29,0,1.0,1,52013,124,288,1
1,26,1,48,0,0.0,1,2630,152,249,0
1,25,1,13,1,0.0,0,35594,152,82,0
0,38,1,17,0,0.5,1,39426,30,269,1
1,56,1,46,1,0.5,0,2630,11,122,0
1,32,1,47,0,0.5,1,30381,29,14,0
1,30,1,28,1,0.0,0,28367,152,137,0
1,23,1,29,1,0.0,0,39701,152,172,0
1,21,1,46,1,0.0,0,36239,160,280,0
1,23,1,28,0,0.0,1,65801,152,298,1
1,47,1,28,1,0.5,0,35527,124,34,0
1,79,1,41,1,0.5,0,33774,124,182,0
1,46,1,30,0,0.5,1,29384,152,169,0
1,64,1,46,1,0.5,0,33523,11,14,0
1,48,1,28,0,1.0,1,43856,124,48,0
1,26,1,15,1,0.0,0,39493,152,264,0
0,45,1,50,1,0.5,0,36084,8,22,0
1,38,1,3,0,0.5,1,29851,124,159,1
0,24,1,29,1,0.0,0,38040,152,222,0
1,33,1,23,0,0.5,1,2630,156,173,1
1,56,1,28,1,0.5,0,32457,3,210,0
0,54,1,37,1,0.5,0,51980,26,36,0
1,68,1,46,0,1.0,1,40237,26,139,0
0,24,1,26,0,0.0,1,25936,160,68,0
1,49,1,28,1,0.5,0,30146,124,243,0
1,21,1,3,0,0.0,1,57092,160,200,0
1,47,1,28,0,0.5,1,37329,124,278,0
1,41,1,29,0,0.5,0,31574,124,106,0
0,45,1,28,0,0.5,1,34756,26,84,0
0,51,1,30,0,0.5,1,30017,152,224,0
0,54,1,28,0,0.5,1,49781,26,13,1
0,22,1,30,1,0.0,0,30998,152,254,0
1,27,1,11,1,0.0,0,37832,152,288,0
1,22,1,37,0,0.0,1,33038,163,208,0
1,23,1,36,1,0.0,0,30750,152,189,0
1,24,1,10,1,0.0,0,36784,152,91,0
0,27,1,50,1,0.0,0,36440,152,123,0
0,26,1,33,0,0.5,1,41818,26,281,0
0,57,1,3,0,1.0,1,28179,124,171,1
1,28,1,28,0,0.5,1,42233,154,229,1
0,35,1,45,1,0.5,0,24569,122,144,0
1,21,1,36,0,0.0,1,36456,160,117,0
0,44,1,28,0,1.0,1,72544,147,70,0
1,33,1,3,1,0.5,0,2630,124,282,0
1,37,1,1,0,1.0,1,2630,157,162,0
0,52,1,23,1,0.5,0,25208,124,225,0
1,24,1,14,1,0.0,0,28652,151,86,0
1,20,1,2,0,0.0,1,36753,160,281,0
0,54,1,29,0,0.5,1,82531,26,76,0
1,37,1,28,1,0.5,0,30101,124,99,0
1,24,1,2,1,0.0,0,34053,152,237,0
0,24,1,11,1,0.0,0,33191,152,59,0
0,22,1,14,0,0.0,0,27977,152,220,0
1,50,1,28,0,0.5,1,34241,46,171,0
0,25,1,17,1,0.0,0,38785,152,59,0
1,34,1,15,1,0.5,0,43272,152,62,0
0,42,1,8,1,0.5,0,52325,152,97,0
0,41,1,16,1,0.5,0,29075,152,166,0
0,32,1,12,0,0.0,1,34557,26,279,1
1,22,1,46,1,0.0,0,24209,152,106,0
1,45,1,28,0,0.5,1,43193,26,134,1
1,30,1,31,0,0.0,1,2630,26,141,0
1,43,1,35,1,0.5,0,33869,26,236,0
1,27,1,29,1,0.0,0,36782,152,281,0
0,28,1,33,1,0.0,0,37525,152,160,0
0,44,1,35,0,0.5,1,23581,124,185,0
0,65,1,28,1,0.5,0,30335,124,141,0
0,21,1,50,1,0.0,0,37881,160,267,0
1,47,1,15,1,0.5,0,28105,14,150,0
1,25,1,11,0,0.0,1,19800,152,111,1
0,30,1,37,0,0.5,1,34948,124,197,0
0,28,1,35,1,0.0,0,38259,152,239,0
1,21,1,8,1,0.0,0,31742,160,264,0
0,22,1,8,1,0.0,0,30967,152,43,0
0,23,1,36,0,0.0,1,53520,152,52,0
1,39,1,48,0,0.5,1,2630,124,173,0
0,41,1,47,0,0.5,1,30747,124,48,1
0,22,1,3,1,0.0,0,35857,160,260,0
0,21,1,26,0,0.0,1,39661,152,196,0
0,24,1,28,1,0.0,0,27789,152,127,0
1,60,1,28,1,0.5,0,39013,124,166,0
1,39,1,28,1,0.5,0,40863,26,167,0
0,21,1,29,1,0.0,0,40972,152,82,0
1,69,1,28,0,0.5,1,30294,26,150,1
1,20,1,27,1,0.0,0,32491,160,10,0
0,22,1,30,1,0.0,0,28003,152,42,0
1,64,1,23,0,0.5,0,28322,26,123,0
1,26,1,30,1,0.0,0,2630,152,126,0
1,26,1,28,0,0.0,1,41946,122,33,0
0,36,1,28,0,0.5,1,27123,163,279,1
0,22,1,15,1,0.0,0,33620,152,128,0
1,23,1,50,0,0.0,1,32980,151,71,0
0,49,1,45,1,0.5,0,30537,152,187,0
0,34,1,46,0,0.5,1,2630,124,253,1
1,63,1,50,0,0.5,1,2630,155,120,0
1,51,1,28,0,0.5,0,58918,124,123,0
1,34,1,41,0,0.5,1,28832,124,150,0
1,75,1,28,0,0.5,1,41220,26,281,0
0,25,1,14,1,0.0,0,36119,152,44,0
1,45,1,8,0,0.5,1,43373,26,239,0
1,35,1,28,0,0.5,1,32612,152,83,0
0,26,1,35,1,0.0,0,34402,152,10,0
0,45,1,28,0,0.5,1,37734,26,195,1
0,20,1,8,0,0.5,1,2630,156,48,0
1,52,1,17,1,0.5,0,2630,26,226,0
0,22,1,30,1,0.0,0,40862,152,23,0
0,47,1,29,0,0.5,1,31036,26,168,0
1,28,1,39,1,0.0,0,2630,152,183,0
1,25,1,12,0,0.0,1,2630,157,187,0
1,35,1,28,0,0.5,1,39092,26,142,1
1,22,1,6,0,0.0,1,32886,152,77,1
1,64,1,28,0,1.0,1,41394,124,254,0
0,57,1,47,0,0.5,1,35411,124,168,0
0,25,1,10,0,0.0,0,23367,152,289,0
0,52,1,28,0,1.0,1,77769,124,218,0
1,22,1,29,0,0.0,1,26348,152,190,1
1,22,1,29,1,0.0,0,30679,152,125,0
0,24,1,5,1,0.0,0,27035,160,63,0
1,30,1,40,1,0.0,0,37925,152,26,0
1,68,1,15,1,0.5,0,36515,152,203,0
1,35,1,34,0,0.5,1,31010,124,144,0
0,20,1,30,0,0.0,1,32119,160,115,0
0,25,1,35,1,0.0,0,20846,152,59,0
0,31,1,2,1,0.0,0,31750,152,219,0
1,47,1,8,0,0.5,1,39718,124,71,0
0,21,1,34,0,0.0,1,32456,152,36,0
1,25,1,37,1,0.0,0,37955,152,282,0
1,22,1,29,1,0.0,0,25641,152,218,0
1,23,1,8,1,0.0,0,23573,160,108,0
0,28,1,32,1,0.0,0,31134,152,13,0
1,20,1,1,0,0.0,0,2630,160,235,0
1,28,1,15,0,0.5,1,2630,157,116,1
1,43,1,8,0,0.5,1,28373,26,99,0
0,66,1,46,0,0.5,1,28743,26,144,1
1,23,1,14,0,0.0,1,36617,152,86,1
1,30,1,21,1,0.0,0,2630,152,114,0
0,25,1,14,1,0.0,0,29383,152,78,0
1,30,1,33,1,0.0,0,32266,152,64,0
0,24,1,8,1,0.0,0,48423,152,260,0
1,41,1,8,0,0.5,1,27784,4,30,0
1,49,1,41,0,0.5,1,29769,124,209,0
0,20,1,8,1,0.0,0,75851,160,222,0
1,31,1,28,0,0.0,1,34193,153,94,0
0,31,1,28,1,0.0,0,40289,152,124,0
1,24,1,36,0,0.0,1,28423,152,91,0
0,41,1,28,0,0.5,1,35791,26,242,0
0,29,1,28,0,0.5,1,49752,157,159,1
0,41,1,19,0,0.5,1,35327,122,108,1
1,20,1,27,1,0.0,0,2630,160,297,0
1,43,1,28,0,0.5,1,43028,124,98,0
0,49,1,28,0,0.5,1,71428,26,223,0
1,25,1,28,0,0.0,1,53590,26,246,0
1,40,1,28,0,0.5,1,43148,26,13,1
1,52,1,46,0,0.5,1,2630,26,13,1
0,23,1,41,0,0.0,1,53909,152,126,0
1,23,1,18,1,0.0,0,29114,152,165,0
1,43,1,28,1,0.5,0,44444,122,51,0
0,25,1,8,0,0.0,1,48089,152,50,0
0,21,1,15,0,0.0,1,38826,152,151,0
1,40,1,28,1,0.5,0,44095,124,60,0
1,40,1,28,0,0.5,1,33809,154,198,0
0,35,1,28,0,0.5,0,28212,26,133,0
1,76,1,28,0,0.5,1,30352,26,185,0
0,46,1,47,1,0.5,0,36102,26,67,0
1,22,1,28,0,0.0,1,44540,124,135,0
0,22,1,30,1,0.0,0,44391,152,155,0
0,75,1,28,0,0.5,1,2630,26,201,1
0,28,1,30,1,0.0,0,2630,152,179,0
0,38,1,33,0,0.5,1,30032,124,83,1
0,22,1,32,1,0.0,1,27713,152,234,0
0,42,1,8,0,0.5,1,27853,124,142,0
1,24,1,21,0,0.0,1,33633,152,263,0
0,27,1,37,1,0.0,1,21273,26,13,0
1,47,1,28,1,0.5,0,2630,124,96,0
1,51,1,25,0,0.5,1,2630,26,247,1
0,23,1,39,1,0.0,0,30273,152,296,0
1,22,1,41,0,0.0,1,25615,152,230,0
0,66,1,18,0,0.5,1,50992,26,201,0
0,21,1,6,1,0.0,0,26992,152,267,0
1,23,1,37,0,0.0,1,31536,152,137,1
0,56,1,25,0,0.5,1,33564,26,27,0
1,23,1,10,0,0.0,0,29044,152,166,0
1,70,1,26,0,0.5,1,25375,124,213,0
1,23,1,41,1,0.0,0,35656,152,130,0
1,69,1,28,1,0.5,1,45046,26,34,0
0,23,1,29,1,0.0,0,26646,152,233,0
0,23,1,25,1,0.0,0,47682,152,124,0
1,27,1,46,0,0.0,1,27860,160,92,0
1,52,1,28,0,0.5,1,27559,26,171,0
1,22,1,41,1,0.0,0,51559,152,295,0
1,69,1,49,0,0.5,1,27933,156,88,0
0,48,1,14,0,0.5,1,2630,26,136,0
1,52,1,8,1,0.5,0,2630,124,33,0
1,67,1,47,1,0.5,0,39838,124,170,0
0,58,1,28,0,0.5,0,2630,124,297,0
0,79,1,41,0,0.5,1,2630,26,80,0
0,24,1,29,1,0.0,0,56316,152,121,0
0,23,1,15,1,0.0,0,29023,26,163,0
0,25,1,25,1,0.0,0,32843,152,35,0
0,21,1,47,1,0.0,0,33493,160,215,0
1,53,1,28,1,0.5,1,36625,124,294,0
0,65,1,30,0,0.5,1,36062,26,94,0
0,30,1,15,1,0.0,0,2630,160,124,0
1,26,1,30,0,0.0,1,26607,152,28,0
0,58,1,18,0,0.5,1,35671,124,147,0
0,27,1,11,1,0.0,0,35264,152,38,0
0,39,1,28,0,0.5,1,45977,124,118,0
1,22,1,30,1,0.0,0,25372,152,112,0
0,38,1,28,0,0.5,1,42236,154,34,1
1,23,1,14,1,0.0,0,28260,152,74,0
0,38,1,28,0,0.5,1,30019,26,18,1
1,49,1,45,0,0.5,1,33939,124,171,0
0,27,1,46,1,0.0,0,2630,152,121,0
0,39,1,11,0,0.5,0,2630,124,48,0
1,23,1,15,0,0.0,0,45132,152,107,0
1,50,1,11,0,0.5,1,2630,26,282,1
0,43,1,35,0,0.5,1,24118,124,194,0
0,42,1,8,1,0.5,0,40638,26,224,0
0,26,1,30,1,0.0,0,47345,152,230,0
0,29,1,29,1,0.0,0,2630,152,228,0
0,26,1,10,1,0.5,0,31974,124,100,0
0,50,1,41,0,0.5,1,32140,26,24,1
1,66,1,28,0,0.5,0,42033,13,81,0
